State,Total Number of Births
Alabama,58054
Alaska,9367
Arizona,77916
Arkansas,35965
California,420608
Colorado,62949
Connecticut,35670
Delaware,10482
District of Columbia,8660
Florida,216260
Georgia,124073
Hawaii,15620
Idaho,22427
Illinois,132189
Indiana,79946
Iowa,36835
Kansas,34705
Kentucky,52214
Louisiana,57437
Maine,12006
Maryland,68285
Massachusetts,69137
Michigan,104980
Minnesota,64425
Mississippi,35156
Missouri,69453
Montana,12552
Nebraska,24609
Nevada,33686
New Hampshire,12625
New Jersey,101497
New Mexico,21391
New York,210742
North Carolina,120466
North Dakota,10112
Ohio,129791
Oklahoma,48410
Oregon,40914
Pennsylvania,132622
Rhode Island,10464
South Carolina,57185
South Dakota,11369
Tennessee,81717
Texas,373594
Utah,46712
Vermont,5384
Virginia,95825
Washington,83911
West Virginia,17198
Wisconsin,61781
Wyoming,6237
